algorithm,dataset,n_features,n_jobs,n_neighbors,n_samples,n_threads,time_construction_mean,time_construction_std,time_querying_mean,time_querying_std
brute,creditcard,10,1,10,100000,8,0.0006277561187744141,3.186851764641352e-06,14.835522413253784,0.16510193714075644
brute,creditcard,10,1,100,10000,8,0.00016276041666666666,8.710892505578846e-06,1.481747309366862,0.022723264717141197
brute,creditcard,10,1,100,50000,8,0.0003813902537027995,1.275384651930219e-05,7.3338165283203125,0.010613705906378817
brute,creditcard,10,1,100,100000,8,0.000701904296875,8.680291903185283e-05,14.653433243433634,0.3259133923408379
brute,creditcard,15,1,10,10000,8,0.00018413861592610678,5.0551236132905485e-06,1.419109582901001,0.007059868991920263
brute,creditcard,15,1,10,50000,8,0.00046904881795247394,1.5505560229785378e-05,7.2613905270894366,0.02613181632948293
brute,creditcard,15,1,10,100000,8,0.0009098052978515625,8.703638867460561e-06,14.574176152547201,0.07789807930667579
brute,creditcard,15,1,100,10000,8,0.00019025802612304688,9.105800366339686e-06,1.3855329354604085,0.08691207770103374
brute,creditcard,15,1,100,50000,8,0.0005083878835042318,1.9302908969820263e-05,7.310740073521932,0.009113496123314956
brute,creditcard,15,1,100,100000,8,0.0009854634602864583,9.437488254354543e-05,14.751375039418539,0.2036175832717558
brute,creditcard,20,1,10,10000,8,0.00022967656453450522,5.716524285747033e-06,1.4868484338124592,0.16952284756848615
brute,creditcard,20,1,10,50000,8,0.0006024042765299479,2.0999189979149972e-05,7.2596010367075605,0.049146284666168376
brute,creditcard,20,1,10,100000,8,0.0012256304423014324,1.3450884219950856e-05,14.62503695487976,0.08788310025785222
brute,creditcard,20,1,100,10000,8,0.00021187464396158853,8.246051226398266e-06,1.4282263120015461,0.017562303328498303
brute,creditcard,20,1,100,50000,8,0.0006349881490071615,3.117747735771249e-05,7.288402716318767,0.042553161963459894
brute,creditcard,20,1,100,100000,8,0.001364310582478841,0.00012109165693289773,14.675413688023886,0.05933710462032907
brute,creditcard,25,1,10,10000,8,0.00023412704467773438,8.203816668551089e-06,1.266650676727295,0.025319890170222688
brute,creditcard,25,1,10,50000,8,0.0007158915201822916,2.4936754772735038e-05,7.270412921905518,0.054351285835155444
brute,creditcard,25,1,10,100000,8,0.0017822583516438801,2.9480039264347408e-05,14.76230295499166,0.04765920378891949
brute,creditcard,25,1,100,10000,8,0.00023897488911946615,9.395292095268026e-06,1.3584552605946858,0.009663435264455386
brute,creditcard,25,1,100,50000,8,0.0008070468902587891,4.598739447837934e-05,7.331209103266398,0.042889768158865985
brute,creditcard,25,1,100,100000,8,0.0019325415293375652,0.00016183831763067621,14.872435728708902,0.011509020624682514
brute,mnist_pca,5,1,10,10000,8,0.00012946128845214844,1.6970758838703332e-06,1.3863453070322673,0.0715071872031413
brute,mnist_pca,5,1,10,50000,8,0.00024016698201497397,4.3194065862341534e-06,7.169654846191406,0.15763041764331512
brute,mnist_pca,5,1,100,10000,8,0.0001351038614908854,1.3532340219925285e-05,1.4604127407073975,0.055311281953318
brute,mnist_pca,5,1,100,50000,8,0.000257571538289388,7.1375300468819e-06,7.091096639633179,0.29533242303172896
brute,mnist_pca,6,1,10,10000,8,0.00013740857442220053,3.9337058610167764e-06,1.3412018616994221,0.06499069758626268
brute,mnist_pca,6,1,10,50000,8,0.00026679039001464844,1.257229493949375e-05,7.185531298319499,0.12260212356810798
brute,mnist_pca,6,1,100,10000,8,0.00014448165893554688,2.725351365325013e-06,1.4597251415252686,0.03467577818801334
brute,mnist_pca,6,1,100,50000,8,0.0002907117207845052,1.8441471175282772e-05,7.188722848892212,0.06931844362892033
brute,mnist_pca,7,1,10,10000,8,0.00015338261922200522,8.966003911444634e-06,1.4458212852478027,0.02287712973743332
brute,mnist_pca,7,1,10,50000,8,0.0002849102020263672,1.0300859925600465e-05,7.04614504178365,0.22228837725617404
brute,mnist_pca,7,1,100,10000,8,0.00015441576639811197,5.676610129174732e-06,1.4602382977803547,0.02097226360497644
brute,mnist_pca,7,1,100,50000,8,0.00030310948689778644,1.9580667615807207e-05,7.286811192830403,0.05713194897936494
brute,mnist_pca,8,1,10,10000,8,0.00016641616821289062,5.814024975513421e-06,1.3920941352844238,0.05039496931806755
brute,mnist_pca,8,1,10,50000,8,0.00030867258707682293,1.1500796483447191e-05,7.109484354654948,0.11341112942707797
brute,mnist_pca,8,1,100,10000,8,0.0001681645711263021,4.777634418865565e-06,1.4583491484324138,0.04999508249313571
brute,mnist_pca,8,1,100,50000,8,0.00032560030619303387,1.4725872708215075e-05,6.883102496465047,0.32553690322491186
brute,mnist_pca,9,1,10,10000,8,0.00017269452412923178,6.439754034640915e-06,1.3323912620544434,0.062069520339644926
brute,mnist_pca,9,1,10,50000,8,0.0003304481506347656,7.026946931901167e-06,6.9975959459940595,0.12875536683712951
brute,mnist_pca,9,1,100,10000,8,0.0001815954844156901,9.05223432394286e-06,1.4561288356781006,0.025379446537052198
brute,mnist_pca,9,1,100,50000,8,0.00037137667338053387,7.479743045713071e-06,7.145119508107503,0.14877079144885585
brute,mnist_pca,10,1,10,10000,8,0.00018556912740071615,1.4023300806753015e-05,1.4654359022776287,0.07493930149584506
brute,mnist_pca,10,1,10,50000,8,0.00035007794698079425,7.3080469338561056e-06,7.093114852905273,0.06376887878092807
brute,mnist_pca,10,1,100,10000,8,0.00018509229024251303,9.539391891558111e-06,1.4904255072275798,0.051521872591672825
brute,mnist_pca,10,1,100,50000,8,0.0003887017567952474,4.270880649103929e-06,7.254876295725505,0.08962720539095193
brute,mnist_pca,15,1,10,10000,8,0.00020869572957356772,1.2625433788847164e-05,1.4083646138509114,0.02556775472526311
brute,mnist_pca,15,1,10,50000,8,0.00046443939208984375,1.2298023816139046e-05,7.230000098546346,0.14595425620357505
brute,mnist_pca,15,1,100,10000,8,0.00021163622538248697,9.602742174144245e-06,1.4753042856852214,0.029975769658731756
brute,mnist_pca,15,1,100,50000,8,0.0005060831705729166,2.7524929036197483e-05,7.293737252553304,0.01045766388111618
brute,mnist_pca,20,1,10,10000,8,0.0002407232920328776,7.748501931849228e-06,1.4016048113505046,0.028266490206755854
brute,mnist_pca,20,1,10,50000,8,0.0006128946940104166,2.6693181516724445e-05,7.380888938903809,0.07010030607825335
brute,mnist_pca,20,1,100,10000,8,0.00023865699768066406,1.0306376766088229e-05,1.485561688741048,0.027244150374116188
brute,mnist_pca,20,1,100,50000,8,0.0006597042083740234,4.003776101990919e-05,7.431807676951091,0.058900698103050694
brute,mnist_pca,25,1,10,10000,8,0.0002579689025878906,5.926991889312769e-06,1.3917527198791504,0.04669759642206015
brute,mnist_pca,25,1,10,50000,8,0.0007637341817220052,4.0080015579803516e-05,7.446088075637817,0.0636692506916286
brute,mnist_pca,25,1,100,10000,8,0.00027632713317871094,1.8311209136854388e-05,1.4818697770436604,0.005848807290452143
brute,mnist_pca,25,1,100,50000,8,0.0008358160654703776,4.9027862868287045e-05,7.2148895263671875,0.23926830604828178
brute,mnist_pca,30,1,10,10000,8,0.00028506914774576825,1.1553396875206667e-05,1.4647219975789387,0.013846853284843573
brute,mnist_pca,30,1,10,50000,8,0.0009310245513916016,5.7365643902099375e-05,7.447714010874431,0.056708211653235516
brute,mnist_pca,30,1,100,10000,8,0.00030422210693359375,1.3151257574359641e-05,1.5027714570363362,0.03473238744439156
brute,mnist_pca,30,1,100,50000,8,0.0010313987731933594,0.00011099214980332892,7.4728444417317705,0.0488421382648036
brute,synthetic_low_intrinsic_dim,5,1,10,10000,8,0.00027219454447428387,9.830892326448886e-06,1.2826124827067058,0.0013818154018345563
brute,synthetic_low_intrinsic_dim,5,1,10,50000,8,0.0008757909138997396,2.8512266006151816e-05,6.778132836023967,0.006034660597365743
brute,synthetic_low_intrinsic_dim,5,1,10,100000,8,0.0016211668650309246,4.38077874793613e-05,13.544812599817911,0.027606052095461627
brute,synthetic_low_intrinsic_dim,5,1,100,10000,8,0.0002666314442952474,9.308168574683709e-06,1.3376883665720622,0.0025267854423201676
brute,synthetic_low_intrinsic_dim,5,1,100,50000,8,0.0009110768636067709,6.928930501061981e-05,6.858119487762451,0.01539341758279039
brute,synthetic_low_intrinsic_dim,5,1,100,100000,8,0.0017066001892089844,5.140266229584468e-05,13.572509288787842,0.021337637097704653
brute,synthetic_low_intrinsic_dim,6,1,10,10000,8,0.00026949246724446613,1.2204195560796908e-05,1.2815062204996746,0.0014354659000752033
brute,synthetic_low_intrinsic_dim,6,1,10,50000,8,0.0008727709452311198,2.270393697358819e-05,6.766353925069173,0.004329685148395289
brute,synthetic_low_intrinsic_dim,6,1,10,100000,8,0.001603841781616211,2.925724007521251e-05,13.508408308029175,0.003124765725028347
brute,synthetic_low_intrinsic_dim,6,1,100,10000,8,0.0002677440643310547,1.1463942794963176e-05,1.3439846833546956,0.003741577553766413
brute,synthetic_low_intrinsic_dim,6,1,100,50000,8,0.0008993148803710938,4.568231045854136e-05,6.819447994232178,0.004882422403837411
brute,synthetic_low_intrinsic_dim,6,1,100,100000,8,0.0016689300537109375,1.4162679031648798e-05,13.57292898495992,0.006026751395573071
brute,synthetic_low_intrinsic_dim,7,1,10,10000,8,0.0002886454264322917,7.927392857575419e-06,1.2809441089630127,0.0012205708855536612
brute,synthetic_low_intrinsic_dim,7,1,10,50000,8,0.0009847482045491536,1.8785541678608954e-05,6.775824546813965,0.006645874141611829
brute,synthetic_low_intrinsic_dim,7,1,10,100000,8,0.001819292704264323,4.3931745750033493e-05,13.538514137268066,0.011114114189124344
brute,synthetic_low_intrinsic_dim,7,1,100,10000,8,0.00029023488362630207,9.97249814563523e-06,1.338606595993042,0.0031413810741168164
brute,synthetic_low_intrinsic_dim,7,1,100,50000,8,0.0010151863098144531,4.9893134741816715e-05,6.889876921971639,0.08193736136670637
brute,synthetic_low_intrinsic_dim,7,1,100,100000,8,0.001881996790568034,1.1364896810909185e-05,13.593127965927124,0.009457549304746923
brute,synthetic_low_intrinsic_dim,8,1,10,10000,8,0.0003295739491780599,5.800527984463706e-05,1.2855195999145508,0.0014416657267739468
brute,synthetic_low_intrinsic_dim,8,1,10,50000,8,0.0009951591491699219,1.4531151133396652e-05,6.773607651392619,0.0029049127121334455
brute,synthetic_low_intrinsic_dim,8,1,10,100000,8,0.0018414656321207683,3.995786006323704e-05,13.529277006785074,0.012060852541145568
brute,synthetic_low_intrinsic_dim,8,1,100,10000,8,0.00028824806213378906,1.1554490170394845e-05,1.3375341892242432,0.004003997703885905
brute,synthetic_low_intrinsic_dim,8,1,100,50000,8,0.0010291735331217449,2.808913109476463e-05,6.8212441603342695,0.0020900363408731127
brute,synthetic_low_intrinsic_dim,8,1,100,100000,8,0.0019243558247884114,1.2913300399041867e-05,13.591856161753336,0.025664818191974862
brute,synthetic_low_intrinsic_dim,9,1,10,10000,8,0.00031121571858723957,6.521618601140545e-06,1.2829711437225342,0.0019275741213213562
brute,synthetic_low_intrinsic_dim,9,1,10,50000,8,0.0010874271392822266,2.98572669577737e-05,6.780053377151489,0.0011808012719840423
brute,synthetic_low_intrinsic_dim,9,1,10,100000,8,0.0020450750986735025,7.32407836039975e-05,13.535041491190592,0.01088673290539712
brute,synthetic_low_intrinsic_dim,9,1,100,10000,8,0.0003135204315185547,1.2858404164584483e-05,1.3381029764811199,0.0031022001994664692
brute,synthetic_low_intrinsic_dim,9,1,100,50000,8,0.0011020501454671223,3.845189009727673e-05,6.829735676447551,0.012337707735913491
brute,synthetic_low_intrinsic_dim,9,1,100,100000,8,0.0021703243255615234,9.399438929989357e-05,13.702515443166098,0.12678845122878493
brute,synthetic_low_intrinsic_dim,10,1,10,10000,8,0.00031105677286783856,9.234595831007981e-06,1.2865081628163655,0.00219070838718428
brute,synthetic_low_intrinsic_dim,10,1,10,50000,8,0.0010688304901123047,2.0323931141764992e-06,6.797305981318156,0.016990153007178075
brute,synthetic_low_intrinsic_dim,10,1,10,100000,8,0.0019807020823160806,5.5800248596135106e-05,13.551963011423746,0.060190733631007944
brute,synthetic_low_intrinsic_dim,10,1,100,10000,8,0.00030883153279622394,9.18521994621234e-06,1.3404218355814617,0.002134311457792352
brute,synthetic_low_intrinsic_dim,10,1,100,50000,8,0.0010883808135986328,4.095575050413918e-05,6.821236610412598,0.006060057352389856
brute,synthetic_low_intrinsic_dim,10,1,100,100000,8,0.002056678136189779,1.10966426059132e-05,13.654148896535238,0.05757906608503543
brute,synthetic_low_intrinsic_dim,15,1,10,10000,8,0.00035842259724934894,1.197854002270466e-05,1.2868377367655437,0.00065062854253546
brute,synthetic_low_intrinsic_dim,15,1,10,50000,8,0.0012871424357096355,1.0744424962317532e-05,6.791644970575969,0.00433552059741933
brute,synthetic_low_intrinsic_dim,15,1,10,100000,8,0.0024292469024658203,5.870747880790901e-05,13.553121646245321,0.0075939894395173095
brute,synthetic_low_intrinsic_dim,15,1,100,10000,8,0.00035564104715983075,1.4252477513289118e-05,1.341567595799764,0.002656609693653048
brute,synthetic_low_intrinsic_dim,15,1,100,50000,8,0.0013319651285807292,1.2148174646156335e-05,6.833322127660115,0.0015127088536670754
brute,synthetic_low_intrinsic_dim,15,1,100,100000,8,0.002512852350870768,1.4264437450526282e-05,13.623797416687012,0.04971718956846102
brute,synthetic_low_intrinsic_dim,20,1,10,10000,8,0.00040539105733235675,5.649844038383554e-06,1.2937838236490886,0.002315990324262446
brute,synthetic_low_intrinsic_dim,20,1,10,50000,8,0.0015381971995035808,1.7311589646968815e-05,6.841242392857869,0.029890871322701424
brute,synthetic_low_intrinsic_dim,20,1,10,100000,8,0.00292205810546875,7.565974853626851e-05,13.650233745574951,0.048707693528959074
brute,synthetic_low_intrinsic_dim,20,1,100,10000,8,0.0004124641418457031,1.4356679169964407e-05,1.3449474175771077,0.0035370759239871687
brute,synthetic_low_intrinsic_dim,20,1,100,50000,8,0.0016064643859863281,3.199964605052055e-05,6.868045806884766,0.005689776987978596
brute,synthetic_low_intrinsic_dim,20,1,100,100000,8,0.00304563840230306,4.4575702865537515e-06,13.67615000406901,0.008540956253246057
brute,synthetic_low_intrinsic_dim,25,1,10,10000,8,0.0004429022471110026,5.828130123551402e-06,1.2951953411102295,0.0003065689023575641
brute,synthetic_low_intrinsic_dim,25,1,10,50000,8,0.001703500747680664,2.1213448548379166e-05,6.847061077753703,0.013890694250766398
brute,synthetic_low_intrinsic_dim,25,1,10,100000,8,0.003266493479410807,0.00010864152117919296,13.671239932378134,0.013346763376812685
brute,synthetic_low_intrinsic_dim,25,1,100,10000,8,0.0004448095957438151,9.218166588941588e-06,1.350124756495158,0.0025525870672500673
brute,synthetic_low_intrinsic_dim,25,1,100,50000,8,0.0018130938212076824,4.6855704569727246e-05,6.891469081242879,0.005730166369795739
brute,synthetic_low_intrinsic_dim,25,1,100,100000,8,0.0033582051595052085,2.0448785318716653e-05,13.727364540100098,0.020354651438118664
brute,synthetic_low_intrinsic_dim,30,1,10,10000,8,0.0004795392354329427,9.644089647402697e-06,1.2997389634450276,0.004363838159991353
brute,synthetic_low_intrinsic_dim,30,1,10,50000,8,0.0018747647603352864,7.5302369339464005e-06,6.848422527313232,0.006100864477231326
brute,synthetic_low_intrinsic_dim,30,1,10,100000,8,0.0035975774129231772,0.00010702141176511332,13.74133594830831,0.05933694594956303
brute,synthetic_low_intrinsic_dim,30,1,100,10000,8,0.0004885196685791016,1.9172570040726375e-06,1.3569177786509197,0.008842076274349481
brute,synthetic_low_intrinsic_dim,30,1,100,50000,8,0.0019860267639160156,3.425768856476225e-05,6.903698603312175,0.0052558296688636295
brute,synthetic_low_intrinsic_dim,30,1,100,100000,8,0.0036842823028564453,3.521230676630712e-05,13.816800912221273,0.02894614829282491
brute,synthetic_standard_normal,5,1,10,10000,8,0.0002735455830891927,8.689113425316244e-06,1.4165562788645427,0.002292855532937846
brute,synthetic_standard_normal,5,1,10,50000,8,0.0008754730224609375,1.2999097525093628e-05,6.184139092763265,0.0010531974850962458
brute,synthetic_standard_normal,5,1,10,100000,8,0.0016233126322428386,3.31509486517829e-05,13.831356604894003,0.0014162703693008725
brute,synthetic_standard_normal,5,1,100,10000,8,0.000265200932820638,1.3249343731409233e-05,1.4715102513631184,0.002837632717211525
brute,synthetic_standard_normal,5,1,100,50000,8,0.0008887449900309244,2.8584610100124022e-05,6.2337718804677325,0.0051103918838884595
brute,synthetic_standard_normal,5,1,100,100000,8,0.0017004013061523438,1.7918971101556516e-05,13.872418800989786,0.012811267221316454
brute,synthetic_standard_normal,6,1,10,10000,8,0.00027330716451009113,1.2448606013743892e-05,1.4151221911112468,0.0016022404296627988
brute,synthetic_standard_normal,6,1,10,50000,8,0.0008934338887532552,2.4151643848978394e-05,5.973862886428833,0.0051695726512389515
brute,synthetic_standard_normal,6,1,10,100000,8,0.0016165574391682942,4.25171629212216e-05,13.65353282292684,0.00991406154473311
brute,synthetic_standard_normal,6,1,100,10000,8,0.00027028719584147137,1.358544313247141e-05,1.4671190579732258,0.0032460009149079742
brute,synthetic_standard_normal,6,1,100,50000,8,0.0009013017018636068,4.301075278668108e-05,6.025699853897095,0.003132680468153371
brute,synthetic_standard_normal,6,1,100,100000,8,0.0016909440358479817,1.0512670361819053e-05,13.753870884577433,0.08229492329608652
